strategy_name,submission_id,filename,submitted_at,artifact_path,run_dir,final_pnl,max_pnl,min_pnl,max_drawdown,max_drawdown_pct,first_positive_ts,pnl_slope,pnl_volatility,num_points,time_horizon,peak_to_final_drop,recovery_after_drawdown,trade_count,products,raw_fields_found
s182338_a_base_size_8_a_half_spread_5_a_take_edge_0,181931,93-s182338_a_base_size_8_a_half_spread_5_a_take_edge_0.py,2026-04-16T05:59:36.122000+00:00,runs/2026-04-16_01-59-35_s182338_a_base_size_8_a_half_spread_5_a_take_edge_0/artifact.json,runs/2026-04-16_01-59-35_s182338_a_base_size_8_a_half_spread_5_a_take_edge_0,9911.375,9911.375,-682.0,439.09375,0.009082322168131948,6700.0,0.10699427571694661,26.67935735939065,500,99800.0,0.0,10593.375,,,
s182338_a_base_size_8_a_half_spread_5,181977,94-s182338_a_base_size_8_a_half_spread_5.py,2026-04-16T06:01:30.915000+00:00,runs/2026-04-16_02-01-30_s182338_a_base_size_8_a_half_spread_5/artifact.json,runs/2026-04-16_02-01-30_s182338_a_base_size_8_a_half_spread_5,9840.625,9840.625,-682.0,439.09375,0.006881872698307163,6700.0,0.1061453976000279,26.215160973433566,500,99800.0,0.0,10522.625,,,
ashv2_ask_half_6_ask_mult_0.75_base_ske_-1.5_bid_half_2_bid_mult_0.5,182344,96-ashv2_ask_half_6_ask_mult_0.75_base_ske_-1.5_bid_half_2_bid_mult_0.5.py,2026-04-16T06:16:43.160000+00:00,runs/2026-04-16_02-16-42_ashv2_ask_half_6_ask_mult_0.75_base_ske_-1.5_bid_half_2_bid_mult_0.5/artifact.json,runs/2026-04-16_02-16-42_ashv2_ask_half_6_ask_mult_0.75_base_ske_-1.5_bid_half_2_bid_mult_0.5,-9690.46875,-350.765625,-9704.5625,9353.796875,0.0,,-0.09026444013401054,58.974915363819235,500,99800.0,9339.703125,14.09375,,,
ashv2_ask_half_7_ask_mult_0.0_ask_mult_0.0_bid_half_4_bid_mult_1.0,182402,97-ashv2_ask_half_7_ask_mult_0.0_ask_mult_0.0_bid_half_4_bid_mult_1.0.py,2026-04-16T06:18:38.642000+00:00,runs/2026-04-16_02-18-38_ashv2_ask_half_7_ask_mult_0.0_ask_mult_0.0_bid_half_4_bid_mult_1.0/artifact.json,runs/2026-04-16_02-18-38_ashv2_ask_half_7_ask_mult_0.0_ask_mult_0.0_bid_half_4_bid_mult_1.0,-23531.8125,-350.765625,-23546.984375,23196.21875,0.0,,-0.24622354370792482,79.7809928465042,500,99800.0,23181.046875,15.171875,,,
ashv2_ask_half_2_ask_mult_0.0_ask_mult_0.75_base_ske_1.5_bid_half_5,182478,98-ashv2_ask_half_2_ask_mult_0.0_ask_mult_0.75_base_ske_1.5_bid_half_5.py,2026-04-16T06:21:35.172000+00:00,runs/2026-04-16_02-21-35_ashv2_ask_half_2_ask_mult_0.0_ask_mult_0.75_base_ske_1.5_bid_half_5/artifact.json,runs/2026-04-16_02-21-35_ashv2_ask_half_2_ask_mult_0.0_ask_mult_0.75_base_ske_1.5_bid_half_5,-32197.46875,-350.765625,-32214.21875,31863.453125,0.0,,-0.33339160615908087,109.28287759736187,500,99800.0,31846.703125,16.75,,,
ashv2_ask_mult_0.25_bid_half_4_bid_mult_0.25_flatten__1_flatten__12,182538,99-ashv2_ask_mult_0.25_bid_half_4_bid_mult_0.25_flatten__1_flatten__12.py,2026-04-16T06:23:40.249000+00:00,runs/2026-04-16_02-23-40_ashv2_ask_mult_0.25_bid_half_4_bid_mult_0.25_flatten__1_flatten__12/artifact.json,runs/2026-04-16_02-23-40_ashv2_ask_mult_0.25_bid_half_4_bid_mult_0.25_flatten__1_flatten__12,6571.03125,6571.03125,-682.0,439.09375,0.6873356704645048,11300.0,0.07364744061335621,29.570998053343377,500,99800.0,0.0,7253.03125,,,
ashv2_ask_half_6_ask_mult_0.0_bid_half_6_bid_mult_0.0_bid_mult_0.25,182593,100-ashv2_ask_half_6_ask_mult_0.0_bid_half_6_bid_mult_0.0_bid_mult_0.25.py,2026-04-16T06:25:35.604000+00:00,runs/2026-04-16_02-25-35_ashv2_ask_half_6_ask_mult_0.0_bid_half_6_bid_mult_0.0_bid_mult_0.25/artifact.json,runs/2026-04-16_02-25-35_ashv2_ask_half_6_ask_mult_0.0_bid_half_6_bid_mult_0.0_bid_mult_0.25,4319.0625,4477.0,-725.34375,577.09375,0.2810715854194115,15700.0,0.05225823592099056,36.32842368278752,500,99800.0,157.9375,1626.96875,,,
ashv2_ask_half_6_ask_mult_0.75_base_ske_-1.0_bid_half_1_bid_mult_0.75,182647,101-ashv2_ask_half_6_ask_mult_0.75_base_ske_-1.0_bid_half_1_bid_mult_0.75.py,2026-04-16T06:27:32.248000+00:00,runs/2026-04-16_02-27-31_ashv2_ask_half_6_ask_mult_0.75_base_ske_-1.0_bid_half_1_bid_mult_0.75/artifact.json,runs/2026-04-16_02-27-31_ashv2_ask_half_6_ask_mult_0.75_base_ske_-1.0_bid_half_1_bid_mult_0.75,-20407.25,-242.90625,-20422.5859375,20179.6796875,0.0,,-0.22069069965576738,87.50686091055346,500,99800.0,20164.34375,15.3359375,,,
ashv2_ask_half_8_ask_mult_0.0_ask_mult_1.0_base_ske_0.5_bid_half_7,182715,102-ashv2_ask_half_8_ask_mult_0.0_ask_mult_1.0_base_ske_0.5_bid_half_7.py,2026-04-16T06:29:37.526000+00:00,runs/2026-04-16_02-29-37_ashv2_ask_half_8_ask_mult_0.0_ask_mult_1.0_base_ske_0.5_bid_half_7/artifact.json,runs/2026-04-16_02-29-37_ashv2_ask_half_8_ask_mult_0.0_ask_mult_1.0_base_ske_0.5_bid_half_7,-27417.8125,-350.765625,-27432.984375,27082.21875,0.0,,-0.28687444722388267,96.1242870552963,500,99800.0,27067.046875,15.171875,,,
ashv2_ask_half_2_ask_mult_0.0_ask_mult_0.75_base_ske_0.25_bid_half_7,182821,104-ashv2_ask_half_2_ask_mult_0.0_ask_mult_0.75_base_ske_0.25_bid_half_7.py,2026-04-16T06:33:32.681000+00:00,runs/2026-04-16_02-33-32_ashv2_ask_half_2_ask_mult_0.0_ask_mult_0.75_base_ske_0.25_bid_half_7/artifact.json,runs/2026-04-16_02-33-32_ashv2_ask_half_2_ask_mult_0.0_ask_mult_0.75_base_ske_0.25_bid_half_7,8414.34375,8414.34375,-682.0,439.09375,0.006430701860248608,7900.0,0.09241271485101565,23.328853168898238,500,99800.0,0.0,9096.34375,,,
